R602.3(1) FASTENING SCHEDULE,,,
Panel thickness,Number and Type of Fastener [a][b][c],"Edge\nSpacing","Intermediate\nSpacing"
3/8  in.- 1/2 in.,"6d common (2 in. x 0.11 in) nail (subfloor, wall); 8d common (2 1/2 in. x 0.131 in.) nail (roof); or RSRS- 01 (2 7/8 in. x 0.113 in.) nail (roof)",6 in.,12 in.
19/32 in.- 1 in.,"8d common nail (2 1/2 in. x 0.131 in.); or RSRS-01; (2 1/8 in. x 0.113 in.) nail (roof)",6 in.,12 in., 
1/8 in.-1 1/4 in.,"10d common (3 in. x 0.148 in.) nail; or 8d (2 1/2 in. x 0.131 in.) deformed nail",6 in.,12 in.
