CBC 2019 reference, Equation
Equation 16-1, 1.4(D +F)
Equation 16-2, 1.2(D + F) + l.6(L + H) + 0.5(L, or S or R)
Equation 16-3, 1.2(D + F) + l.6(Lr or S or R) + l.6H + (f1L or 0.5W)
Equation 16-4, 1.2(D + F) + 1.0W + f1L +1.6H + 0.5(Lr or S or R)
Equation 16-5, 1.2(D + F) + 1.0E + f1L + l.6H + f2S 
Equation 16-6, 0.9D+ l.0W+ l.6H
Equation 16-7, 0.9(D + F) + 1.0E+ l.6H
